amfi_code,date,nav,nav_quality_flag
100016,2022-01-03,520.4608,OK
100016,2022-01-04,515.0971,OK
100016,2022-01-05,521.7239,OK
100016,2022-01-06,515.788,OK
100016,2022-01-07,515.1639,OK
100016,2022-01-10,510.7136,OK
100016,2022-01-11,513.5542,OK
100016,2022-01-12,512.3195,OK
100016,2022-01-13,510.2445,OK
100016,2022-01-14,514.3636,OK
100016,2022-01-17,514.7627,OK
100016,2022-01-18,517.3803,OK
100016,2022-01-19,513.1866,OK
100016,2022-01-20,507.1294,OK
100016,2022-01-21,507.871,OK
100016,2022-01-24,506.7062,OK
100016,2022-01-25,509.7762,OK
100016,2022-01-26,509.68,OK
100016,2022-01-27,510.8661,OK
100016,2022-01-28,503.8641,OK
100016,2022-01-31,512.5903,OK
100016,2022-02-01,512.1124,OK
100016,2022-02-02,515.5386,OK
100016,2022-02-03,512.0153,OK
100016,2022-02-04,513.6729,OK
100016,2022-02-07,508.0666,OK
100016,2022-02-08,510.3595,OK
100016,2022-02-09,509.0223,OK
100016,2022-02-10,509.4161,OK
100016,2022-02-11,512.826,OK
100016,2022-02-14,507.5435,OK
100016,2022-02-15,504.7492,OK
100016,2022-02-16,507.0506,OK
100016,2022-02-17,516.7872,OK
100016,2022-02-18,516.4246,OK
100016,2022-02-21,519.3918,OK
100016,2022-02-22,519.1698,OK
100016,2022-02-23,528.4118,OK
100016,2022-02-24,520.6004,OK
100016,2022-02-25,521.3038,OK
100016,2022-02-28,514.1489,OK
100016,2022-03-01,503.1674,OK
100016,2022-03-02,504.7495,OK
100016,2022-03-03,505.6316,OK
100016,2022-03-04,504.6233,OK
100016,2022-03-07,504.411,OK
100016,2022-03-08,518.6513,OK
100016,2022-03-09,517.7387,OK
100016,2022-03-10,520.3416,OK
100016,2022-03-11,517.6372,OK
100016,2022-03-14,519.2545,OK
100016,2022-03-15,518.432,OK
100016,2022-03-16,516.825,OK
100016,2022-03-17,525.4534,OK
100016,2022-03-18,531.2109,OK
100016,2022-03-21,532.1264,OK
100016,2022-03-22,521.6911,OK
100016,2022-03-23,520.3011,OK
100016,2022-03-24,533.1283,OK
100016,2022-03-25,532.3194,OK
100016,2022-03-28,537.8012,OK
100016,2022-03-29,544.965,OK
100016,2022-03-30,546.3002,OK
100016,2022-03-31,542.5392,OK
100016,2022-04-01,531.285,OK
100016,2022-04-04,534.7762,OK
100016,2022-04-05,531.2213,OK
100016,2022-04-06,532.3217,OK
100016,2022-04-07,526.7582,OK
100016,2022-04-08,525.7986,OK
100016,2022-04-11,526.2264,OK
100016,2022-04-12,527.7466,OK
100016,2022-04-13,522.8529,OK
100016,2022-04-14,528.6739,OK
100016,2022-04-15,526.1696,OK
100016,2022-04-18,518.7241,OK
100016,2022-04-19,518.493,OK
100016,2022-04-20,518.9178,OK
100016,2022-04-21,519.9214,OK
100016,2022-04-22,526.4763,OK
100016,2022-04-25,525.6507,OK
100016,2022-04-26,525.3674,OK
100016,2022-04-27,520.5493,OK
100016,2022-04-28,524.6005,OK
100016,2022-04-29,525.7251,OK
100016,2022-05-02,524.0515,OK
100016,2022-05-03,515.5881,OK
100016,2022-05-04,522.4674,OK
100016,2022-05-05,517.1078,OK
100016,2022-05-06,514.6837,OK
100016,2022-05-09,516.5793,OK
100016,2022-05-10,511.4204,OK
100016,2022-05-11,504.9889,OK
100016,2022-05-12,495.8735,OK
100016,2022-05-13,499.2941,OK
100016,2022-05-16,497.1556,OK
100016,2022-05-17,510.4206,OK
100016,2022-05-18,506.2251,OK
100016,2022-05-19,502.3871,OK
100016,2022-05-20,500.1462,OK
100016,2022-05-23,501.4785,OK
100016,2022-05-24,499.6609,OK
100016,2022-05-25,502.6257,OK
100016,2022-05-26,498.5637,OK
100016,2022-05-27,492.78,OK
100016,2022-05-30,485.277,OK
100016,2022-05-31,476.0989,OK
100016,2022-06-01,474.1732,OK
100016,2022-06-02,473.1602,OK
100016,2022-06-03,470.7754,OK
100016,2022-06-06,476.2119,OK
100016,2022-06-07,481.6458,OK
100016,2022-06-08,480.4735,OK
100016,2022-06-09,473.1759,OK
100016,2022-06-10,471.0598,OK
100016,2022-06-13,468.8163,OK
100016,2022-06-14,466.3477,OK
100016,2022-06-15,463.7261,OK
100016,2022-06-16,461.2993,OK
100016,2022-06-17,459.9666,OK
100016,2022-06-20,457.6317,OK
100016,2022-06-21,458.7099,OK
100016,2022-06-22,460.4075,OK
100016,2022-06-23,456.9604,OK
100016,2022-06-24,462.3501,OK
100016,2022-06-27,458.6076,OK
100016,2022-06-28,452.344,OK
100016,2022-06-29,454.0998,OK
100016,2022-06-30,451.0707,OK
100016,2022-07-01,452.584,OK
100016,2022-07-04,443.3196,OK
100016,2022-07-05,449.0289,OK
100016,2022-07-06,451.9322,OK
100016,2022-07-07,446.2213,OK
100016,2022-07-08,440.6669,OK
100016,2022-07-11,447.4448,OK
100016,2022-07-12,444.7739,OK
100016,2022-07-13,441.7416,OK
100016,2022-07-14,433.2246,OK
100016,2022-07-15,432.1093,OK
100016,2022-07-18,431.4649,OK
100016,2022-07-19,434.4201,OK
100016,2022-07-20,429.3142,OK
100016,2022-07-21,423.8151,OK
100016,2022-07-22,425.7236,OK
100016,2022-07-25,429.7419,OK
100016,2022-07-26,424.047,OK
100016,2022-07-27,428.3319,OK
100016,2022-07-28,428.6948,OK
100016,2022-07-29,433.0659,OK
100016,2022-08-01,433.0211,OK
100016,2022-08-02,423.7137,OK
100016,2022-08-03,423.3646,OK
100016,2022-08-04,427.5619,OK
100016,2022-08-05,424.424,OK
100016,2022-08-08,423.1925,OK
100016,2022-08-09,422.7537,OK
100016,2022-08-10,412.293,OK
100016,2022-08-11,418.6311,OK
100016,2022-08-12,415.5307,OK
100016,2022-08-15,417.6036,OK
100016,2022-08-16,417.4997,OK
100016,2022-08-17,422.3739,OK
100016,2022-08-18,424.1079,OK
100016,2022-08-19,423.4485,OK
100016,2022-08-22,420.3416,OK
100016,2022-08-23,423.5281,OK
100016,2022-08-24,416.803,OK
100016,2022-08-25,419.4003,OK
100016,2022-08-26,415.5691,OK
100016,2022-08-29,420.401,OK
100016,2022-08-30,421.2166,OK
100016,2022-08-31,423.8348,OK
100016,2022-09-01,424.3603,OK
100016,2022-09-02,418.068,OK
100016,2022-09-05,415.1206,OK
100016,2022-09-06,417.805,OK
100016,2022-09-07,418.6355,OK
100016,2022-09-08,423.2368,OK
100016,2022-09-09,424.9639,OK
100016,2022-09-12,421.5737,OK
100016,2022-09-13,418.8403,OK
100016,2022-09-14,419.437,OK
100016,2022-09-15,411.1759,OK
100016,2022-09-16,417.5046,OK
100016,2022-09-19,419.3505,OK
100016,2022-09-20,424.1319,OK
100016,2022-09-21,418.4765,OK
100016,2022-09-22,423.3133,OK
100016,2022-09-23,431.9494,OK
100016,2022-09-26,427.1671,OK
100016,2022-09-27,430.305,OK
100016,2022-09-28,430.5313,OK
100016,2022-09-29,424.9261,OK
100016,2022-09-30,426.9974,OK
100016,2022-10-03,430.3701,OK
100016,2022-10-04,428.3154,OK
100016,2022-10-05,432.9656,OK
100016,2022-10-06,426.8679,OK
100016,2022-10-07,421.495,OK
100016,2022-10-10,422.2208,OK
100016,2022-10-11,422.5333,OK
100016,2022-10-12,420.0881,OK
100016,2022-10-13,423.3166,OK
100016,2022-10-14,425.5227,OK
100016,2022-10-17,428.9765,OK
100016,2022-10-18,428.7321,OK
100016,2022-10-19,431.2389,OK
100016,2022-10-20,429.769,OK
100016,2022-10-21,437.8501,OK
100016,2022-10-24,434.9481,OK
100016,2022-10-25,443.3278,OK
100016,2022-10-26,443.6931,OK
100016,2022-10-27,438.5694,OK
100016,2022-10-28,444.122,OK
100016,2022-10-31,444.8448,OK
100016,2022-11-01,448.4277,OK
100016,2022-11-02,453.5279,OK
100016,2022-11-03,455.1164,OK
100016,2022-11-04,452.9791,OK
100016,2022-11-07,457.1295,OK
100016,2022-11-08,457.3685,OK
100016,2022-11-09,460.3808,OK
100016,2022-11-10,451.9519,OK
100016,2022-11-11,453.9711,OK
100016,2022-11-14,451.6546,OK
100016,2022-11-15,458.5248,OK
100016,2022-11-16,461.2893,OK
100016,2022-11-17,462.5046,OK
100016,2022-11-18,464.7322,OK
100016,2022-11-21,460.8957,OK
100016,2022-11-22,467.7825,OK
100016,2022-11-23,476.316,OK
100016,2022-11-24,478.216,OK
100016,2022-11-25,485.221,OK
100016,2022-11-28,483.0407,OK
100016,2022-11-29,479.9044,OK
100016,2022-11-30,480.3253,OK
100016,2022-12-01,482.4201,OK
100016,2022-12-02,480.9949,OK
100016,2022-12-05,483.5309,OK
100016,2022-12-06,485.0894,OK
100016,2022-12-07,481.0854,OK
100016,2022-12-08,483.5409,OK
100016,2022-12-09,487.4889,OK
100016,2022-12-12,488.4785,OK
100016,2022-12-13,493.7241,OK
100016,2022-12-14,488.7036,OK
100016,2022-12-15,490.9778,OK
100016,2022-12-16,486.1873,OK
100016,2022-12-19,481.6822,OK
100016,2022-12-20,479.2566,OK
100016,2022-12-21,475.5366,OK
100016,2022-12-22,473.4881,OK
100016,2022-12-23,472.8386,OK
100016,2022-12-26,476.5883,OK
100016,2022-12-27,475.4855,OK
100016,2022-12-28,469.1246,OK
100016,2022-12-29,474.1097,OK
100016,2022-12-30,470.8654,OK
100016,2023-01-02,470.8644,OK
100016,2023-01-03,472.9663,OK
100016,2023-01-04,474.0441,OK
100016,2023-01-05,478.8877,OK
100016,2023-01-06,481.1631,OK
100016,2023-01-09,477.7684,OK
100016,2023-01-10,487.2879,OK
100016,2023-01-11,488.3757,OK
100016,2023-01-12,487.9931,OK
100016,2023-01-13,492.4132,OK
100016,2023-01-16,493.7523,OK
100016,2023-01-17,495.7495,OK
100016,2023-01-18,507.0277,OK
100016,2023-01-19,506.06,OK
100016,2023-01-20,504.9042,OK
100016,2023-01-23,505.6844,OK
100016,2023-01-24,510.7491,OK
100016,2023-01-25,504.268,OK
100016,2023-01-26,495.8578,OK
100016,2023-01-27,493.5515,OK
100016,2023-01-30,486.7415,OK
100016,2023-01-31,485.1715,OK
100016,2023-02-01,487.5779,OK
100016,2023-02-02,484.0122,OK
100016,2023-02-03,478.2065,OK
100016,2023-02-06,478.7459,OK
100016,2023-02-07,482.6505,OK
100016,2023-02-08,475.7347,OK
100016,2023-02-09,479.4358,OK
